"ID","COLL_NOM","COLL_SIRET","ARR_REF","ARR_OBJET","ARR_CONSIDERANT","ARR_DATE_CREATION","ARR_EST_MAJ","ARR_INSEE","ARR_URL","REGL_ARTICLE","REGL_SOUS_ARTICLE","REGL_MODALITE","ZONE_TYPE","ZONE_REF","VEH_TYPE","VEH_PTAC","VEH_LONG","VEH_LARG","VEH_HAUT","VEH_USAGE","VEH_MOTOR","VEH_CQA","PERIODE_DEBUT","PERIODE_JH","SECTION_VOIE","SECTION_SENS","SECTION_DEBUT_POINT","SECTION_DEBUT_REF","SECTION_FIN_POINT","SECTION_FIN_REF","INTERV_DUREE","INTERV_HMAX","GEOM_JSON","GEOM_WKT","GEOM_SOURCE"
51,"Commune de Fuveau",,"653-2018","Arrêté de circulation et de stationnement","Considérant,….",2018-10-11,"False",13040,"http://www.mairiedefuveau.fr/index.php/documents-a-telecharger/actualites/1937-2018-10-17-arrete-general-de-circulation-dans-le-centre-ville/file",2,,"Autorise",,,,,,,,,,,,,"Traverse du cours Leydet","Nord",,"rue du 4 Septembre",,"rue Sainte Victoire",,,,,
52,"Commune de Fuveau",,"653-2018","Arrêté de circulation et de stationnement","Considérant,….",2018-10-11,"False",13040,"http://www.mairiedefuveau.fr/index.php/documents-a-telecharger/actualites/1937-2018-10-17-arrete-general-de-circulation-dans-le-centre-ville/file",2,,"Autorise",,,,,,,,,,,,,"Rue Sainte Victoire","Est",,,,,,,,,
53,"Commune de Fuveau",,"653-2018","Arrêté de circulation et de stationnement","Considérant,….",2018-10-11,"False",13040,"http://www.mairiedefuveau.fr/index.php/documents-a-telecharger/actualites/1937-2018-10-17-arrete-general-de-circulation-dans-le-centre-ville/file",2,,"Autorise",,,,,,,,,,,,"Mo 06:00-14:00; Thu 06:00-14:00","Cours Leydet",,,"Rue Rondet",,,,,,,
