ID,COLL_NOM,COLL_SIRET,ARR_OBJET,ARR_CONSIDERANT,ARR_DATE_CREATION,ARR_EST_MAJ,ARR_INSEE,ARR_REF,ARR_URL,REGL_ARTICLE,REGL_SOUS_ARTICLE,REGL_MODALITE,ZONE_TYPE,ZONE_REF,VEH_PTAC,VEH_LONG,VEH_LARG,VEH_HAUT,VEH_TYPE,VEH_USAGE,VEH_CQA,PERIODE_DEBUT,PERIODE_JH,INTERV_DUREE,INTERV_HMAX,SECTION_VOIE,SECTION_COTE,SECTION_DEBUT_POINT,SECTION_DEBUT_REF,SECTION_FIN_POINT,SECTION_FIN_REF,GEOM_JSON,GEOM_WKT,GEOM_SOURCE
21,Commune de Septèmes-les-Vallons,,Interdiction de circuler aux véhicules de plus de 7.5 T sur l'avenue Nelson Mandela (RD59c) et sur la RD543 (Route d'Apt),Considérant la dangerosité que représente le trafic des poids lourds aux abords des groupes scolaires et qu'il convient d'assurer la sécurité des écoliers et piétons,2007/07/01,,13106,07-2009/ST,,1,,Interdit,,,7.5,,,,Poids Lourds,,,,,,,Avenue Nelson Mandela (RD59c),Deux sens,,Intersection de la RD8n (Avenue du 8 Mai 1945),,Intersection de la route de Calas (RD 543),,"LineString (5.39340184 45.56538751, 5.41017215 45.56722934, 5.42510063 45.5679079)",BDTOPO IGN 2021
22,Commune de Septèmes-les-Vallons,,Interdiction de circuler aux véhicules de plus de 7.5 T sur l'avenue Nelson Mandela (RD59c) et sur la RD543 (Route d'Apt),Considérant la dangerosité que représente le trafic des poids lourds aux abords des groupes scolaires et qu'il convient d'assurer la sécurité des écoliers et piétons,2007/07/01,,13106,07-2009/ST,,1,,Autorise,,,7.5,,,,Poids Lourds,Véhicules municipaux|Bennes à ordures ménagères|Véhicules de secours|Transports en commun,,,,,,Avenue Nelson Mandela (RD59c),Deux sens,,Intersection de la RD8n (Avenue du 8 Mai 1945),,Intersection de la route de Calas (RD 543),,"LineString (5.39340184 45.56538751, 5.41017215 45.56722934, 5.42510063 45.5679079)",BDTOPO IGN 2021
