Autocars
Citernes
Convois funéraires
Bennes à ordures ménagères
Commerçant nomade
Commerçant sédentaire
Desserte locale : déménageur
Livraison
Poids lourds d'urgence
Professions médicales
Riverains
Services publics
Taxis
Transport de carburant
Transport de denrées animales ou végétales
Transport de fonds
Transport de gaz
Transport de matières dangereuses
Transports en commun
Véhicules d'approvisionnement des marchés
Véhicules effectuant du transport exceptionnel au sens de l'article R.433-1 du code de la route et munis d'une autorisation préfectorale
Véhicules de police
Véhicules de secours
Véhicules destinés à l'entretien de la voirie ou à la collecte des déchets
Véhicules de transport de matériaux
Véhicules de travaux
Véhicules municipaux
Véhicules munis d'une autorisation
Véhicules porte-voitures
Voitures de transport avec chauffeur
Véhicules d'intérêt général prioritaire
Véhicules d'intérêt général bénéficiant de facilités de passage
Véhicules des services publics utilisés dans le cadre de leurs missions
Véhicules missionnés par la collectivité dans le cadre d'un contrat de la commande publique
Véhicules du service public de transport des PMR à la demande
Véhicules des services de transport public régulier de personnes organisés conformément à l'article L.1241-1 du code des transports
Véhicules du secteur événementiel pour l'organisation des manifestations déclarées à caractère culturel, sportif, économique ou festif
Véhicules des personnes à mobilité réduite
Véhicules des professionnels du dépannage dans le cadre d'interventions présentant un caractère d'urgence
Véhicules des professionnels de santé et de soins à domicile
Véhicules des transports publics particuliers de personnes à titre onéreux définis aux articles L.3122-1 à L.3122-9 du code des transports (VTC) et aux articles L.3123-1 à L.3123-3 du même code (véhicules à deux ou trois roues exploités à des fins commerciales)
Véhicules utilisés pour accéder aux lieux de culte en vue de cérémonies religieuses
Véhicules personnels des agents des services publics nécessaires à la prise de service
Autocars de tourisme répondant à la définition des services occasionnels de transports prévue à l'article 3 de Règlement UE N°181/2011
