"ID","COLL_NOM","COLL_INSEE","ARR_DATE","ARR_REF","ARR_OBJET","ARR_CONSIDERANT","ARR_URL","REGL_ARTICLE","REGL_SOUS_ARTICLE","REGL_CONTEXTE","REGL_MODALITE","VEH_TYPES","VEH_TONNAGE_MODALITE","VEH_TONNAGE","VEH_USAGES","SAUF_VEH_USAGES","VEH_LONG","VEH_LARG","VEH_HAUT","VEH_MOTORS","VEH_CQAS","PERIODE_JH","PERIODE_DEBUT","PERIODE_FIN","EMPRISE_ZONE","EMPRISE_DESIGNATION","EMPRISE_DEBUT","EMPRISE_FIN","EMPRISE_SENS","INTERV_DUREE","INTERV_HMAX","GEOM_WKT","GEOM_DEBUT","GEOM_FIN","GEOM_SOURCE"
1,"Commune de Septèmes-les-Vallons","13106","NC","07-2009/ST","Interdiction de circuler aux véhicules de plus de 7.5T sur l’avenue Nelson Mandela (RD59c) et sur la RD 543 (Route d’Apt)","Considérant la dangerosité que représente le trafic des poids lourds aux abords des groupes scolaires et qu’il convient d’assurer la sécurité des évoliers et piétons",,1,,,"Interdit","Poids lourds",,7.5,,"Véhicules municipaux|Bennes à ordures ménagères|Véhicules de secours|Bus",,,,,,,,,,"Avenue Nelson Mandela (RD69c)","Intersection avec la RD8n (Avenud du 8 Mai 1945)","Intersection de la route de Calas (RD543)","Deux sens",,,,,,
2,"Commune de Septèmes-les-Vallons","13106","NC","07-2009/ST","Interdiction de circuler aux véhicules de plus de 7.5T sur l’avenue Nelson Mandela (RD59c) et sur la RD 543 (Route d’Apt)","Considérant la dangerosité que représente le trafic des poids lourds aux abords des groupes scolaires et qu’il convient d’assurer la sécurité des évoliers et piétons",,1,,,"Autorise","Poids lourds",,7.5,,"",,,,,,,,,,"Avenue Nelson Mandela (RD69c)","Intersection avec la RD8n (Avenud du 8 Mai 1945)","Rond point du 24 Avril 1915","Deux sens",,,,,,
3,"Commune de Septèmes-les-Vallons","13106","NC","07-2009/ST","Interdiction de circuler aux véhicules de plus de 7.5T sur l’avenue Nelson Mandela (RD59c) et sur la RD 543 (Route d’Apt)","Considérant la dangerosité que représente le trafic des poids lourds aux abords des groupes scolaires et qu’il convient d’assurer la sécurité des évoliers et piétons",,1,,,"Interdit","Poids lourds",,7.5,,"Véhicules municipaux|Bennes à ordures ménagères|Véhicules de secours|Bus",,,,,,,,,,"Avenue Nelson Mandela (RD69c)","Intersection avec la RD8n (Avenud du 8 Mai 1945)","","Deux sens",,,,,,
4,"Commune de Septèmes-les-Vallons","13106","NC","07-2009/ST","Interdiction de circuler aux véhicules de plus de 7.5T sur l’avenue Nelson Mandela (RD59c) et sur la RD 543 (Route d’Apt)","Considérant la dangerosité que représente le trafic des poids lourds aux abords des groupes scolaires et qu’il convient d’assurer la sécurité des évoliers et piétons",,1,,,"Autorise","Poids lourds",,7.5,,"",,,,,,,,,,"Avenue Nelson Mandela (RD69c)","Intersection avec la RD8n (Avenud du 8 Mai 1945)","","Deux sens",,,,,,
