ID,COLL_NOM,COLL_INSEE,ARR_DATE,ARR_REF,ARR_OBJET,ARR_CONSIDERANT,ARR_URL,REGL_ARTICLE,REGL_SOUS_ARTICLE,REGL_MODALITE,VEH_TYPES,VEH_TONNAGE,VEH_LONG,VEH_LARG,VEH_HAUT,VEH_USAGES,VEH_MOTORS,VEH_CQAS,PERIODE_DEBUT,PERIODE_JH,EMPRISE_DESIGNATION,EMPRISE_DEBUT,GEOM_DEBUT,EMPRISE_FIN,GEOM_FIN,EMPRISE_SENS,INTERV_DUREE,INTERV_HMAX,GEOM_WKT,GEOM_SOURCE
11,Commune de Saint-Victoret,13102,2009-02-20,172/2003,Arrêté règlementant la circulation et le stationnement des poids lourds sur la commune,"Considérant qu'il est nécessaire pour assurer la sécurité et la tranquilité des administrés, de prendre toutes les dispositions préalables concernant la circulation et la stationnement sur les voies publiques",,1,,Interdit,Poids lourds,3.5,,,,,,,,,Commune de Saint-Victoret,,,,,,,,,
12,Commune de Saint-Victoret,13102,2009-02-20,172/2003,Arrêté règlementant la circulation et le stationnement des poids lourds sur la commune,"Considérant qu'il est nécessaire pour assurer la sécurité et la tranquilité des administrés, de prendre toutes les dispositions préalables concernant la circulation et la stationnement sur les voies publiques",,1,,Autorise,Poids lourds,3.5,,,,Livraison|Poids lourds d'urgence|Véhicules de travaux,,,,,Commune de Saint-Victoret,,,,,,,,,
